ÁREA,ASSUNTO,PALAVRAS_CHAVE
REUMATOLOGIA,Doencas Autoimunes,lupus*artrite*reumatoide*fator reumatoide*ana*anti dna*esclerose sistemica*vasculite*sjogren*fibromialgia*espondilite*gota*artralgia*citocina*proteina de fase aguda*eular*pirofosfato
OBSTETRICIA,Alto Risco e Obstetricia,near miss*oligoamnio*esteatose hepatica*puerperio*atonia uterina*indice de choque*gemelar*clivagem*tolerancia oral a glicose*mortalidade materna*taquitocico*pamg-1*necrose cortical*coagulacao materna*hipercinetica*corrimento amarelado*pre-eclampsia*crises convulsivas*isoimunizada*pvs-acm*velocidade do pico sistolico*transmissao vertical*posicoes das pernas*clidotomia*apresentacao pelvica*de lee*neuroprotecao do concepto*categoria b*categoria c*categoria de risco*tromboembolismo venoso*trombofilia*estreptococo b*sepse neonatal precoce*vacinacao tetano*dopplerfluxometria obstetrica*diminuicao do liquido amniotico*omeprazol*gestante deve receber*zigoto*tecaluteinicos*trofoblastica*crescimento intrauterino restrito*ciur
GINECOLOGIA,Infeccoes e Ginecologia Geral,cancroide*dip*colposcopia*mioma*sangramento uterino*estrogeno*amenorreia*vacinacao hpv*sifilis latente*inflamatoria pelvica*acido tranexamico*fogachos*menopausa*mamografia*cancer de mama*cancer de colo*massa ovariana cistica*massa anexial*restos ovulares*aborto*gestacao ectopica*metotrexato*ciclo menstrual*agentes de preenchimento*rastreamento de sifilis e hiv*dismenorreia*endometrioma*parede abdominal
MEDICINA DE FAMILIA,MFC,consulta*manejo*transtornos*saude mental*estrategia saude da familia*zona rural*municipio do interior*goias*abordagem comunitaria*saude social*abordagem familiar*genograma*casal*malaria*protozose*fobia social*risperidona*atencao primaria*carteira de servicos*atributos derivados*principios da medicina de familia*tabagismo*sedentarismo*alimentacao inadequada
PREVENTIVA,Politicas e SUS,vigilancia epidemiologica*covid*programa mais medicos*situacao de rua*norma operacional basica*sus*lei 8080*lei 8142*territorializacao*declaracao de obito*doencas cronicas e agravos nao transmisveis*promocao da saude*unidades sentinelas*transicao epidemiologica*acoes estrategicas*enfrentamento das doencas cronicas
PREVENTIVA,Saude do Trabalho,epi*acidente de trabalho*insalubridade*pcmso*ppra*pneumoconiose*nao fibrogenica*asbestose
PREVENTIVA,Bioestatistica e Bioetica,coeficiente*prevalencia*incidencia*sensibilidade*especificidade*valor preditivo*variavel*boxplot*grafico em caixas*estudo comparativo*oftalmologista*cancer no pulmao*catarata congenita*sydney*teste positivo*predicao*terapeutica varia*analise descritiva*ensaio clinico*coorte*caracteristicas quantitativas*correlacionada*mortalidade proporcional*razao de verossimilhanca
PEDIATRIA,Saude Infantil,caderneta de saude*marcos do desenvolvimento*vacinacao*bcg*sarampo*varicela*estridor*cianotica*corpo estranho*larva migrans*bicho geografico*concentracao*sudorese*queimadura*epitelio*rendimento escolar*exantema micropapular*kawasaki*tinea cruris*endocardite infecciosa*benzodiazepinico*flumazenil*obstrucao vias aéreas*manchas eritematosas*regioes malares*rash*impetigo*asma*sinusite*rinite*tempo de exposicao a midias*sbp*anemia ferropriva*dermatite atopica*puberdade precoce*mccune albright*varicocele*antagonista muscarinico*conjuntivite*olho vermelho*tumores ovarianos*miocardite viral*hebiatria*eca*estagio de tanner*tetralogia de fallot*contorno secundario*penis com maior comprimento
PEDIATRIA,Neonatologia e Pediatria Geral,neonato*teste do coracaozinho*apgar*ictericia neonatal*fototerapia*meconio*vppb*surfactante*triagem neonatal*colostro*leite maduro*cariotipo*trissomia*imunoglobulina*clampeado*cordao umbilical*uti-neonatal
PNEUMOLOGIA,Infeccoes Pulmonares,derrame pleural*tuberculose*escarro*empiema*pneumonia*etilismo
CIRURGIA,Cirurgia Digestiva,obesidade*bariatrica*bypass*diverticulite*hinchey*megaesofago*chagasico*rezende*retocolite*mesalazina*doenca de crohn*budesonida*retroperitonio*lipossarcoma*ascite*gasa*trombose da veia hepatica*nutricao parenteral*hemorragia gastrointestinal alta*hipertensao portal*adenocarcinoma de sigmoide*linfoma do tipo malt*colelitiase*coledocolitiase*colangite*triade de charcot*cattell braasch*manobra de cattell*fistula anorretal*neoplasias benignas hepaticas*triangulo de calot*sindrome de gilbert*refluxo gastresofagico*drge
CIRURGIA,Pre-operatorio e Anestesia,opioide*analgesica*fentanil*risco cirurgico*goldman*destky*traqueostomia*debito cardiaco*hipotensao moderada*bloqueadores neuromusculares*bnm*aldrete kroulik*srpa
CIRURGIA,Cirurgia Geral e Trauma,apendicite*colecistite*hernia*trauma abdominal*fast*atls*pneumotorax*choque hipovolemico*triagem*tiroteio*mandibula*embriologia*anomalia vascular*hepatectomias*calculos urinarios*oxalato de calcio*isquemia aguda*membro inferior direito*cockett*may thurner*apendicectomia*incisao inadequada*sutura cutanea*hipoderme*terapia expulsiva*calculos ureterais
DERMATOLOGIA,Dermatoses e Infeccoes,cicatriz*queloide*sulco nasogeniano*basaloide*isotretinoina*impetigo*bolhosa*eritematosas*dermatite atopica
ORTOPEDIA,Trauma e Ortopedia Geral,epifisiolise*femur*coluna cervical*fraturas supracondilares*umero*sinovite transitoria*ligamento cruzado anterior*lca*dor no ombro*trabalhador bracal
NEUROLOGIA,Neuroanatomia e Motor,esclerose multipla*parkinson*alzheimer*tremor*neuronio motor*sindrome piramidal
NEUROLOGIA,AVC e Cefaleias,isquemico*hemorragico*nihss*tc de cranio*trombolise*enxaqueca*cefaleia*triptanos*wernicke*nistagmo
CARDIOLOGIA,Semiologia e Valvopatias,desdobramento da segunda bulha*expiracao*ausculta*sopro*b1*b2*b3*b4*ictus*fonese*sistema vascular
CARDIOLOGIA,Arritmias,fibrilacao atrial*flutter*taquicardia*bradicardia*ecg*eletrocardiograma*marcapasso
CARDIOLOGIA,Coronariopatias e ICC,infarto*iam*angina*troponina*supra de st*insuficiencia cardiaca*fibratos*estatina*dispneia*bnp*diabetes mellitus*cansaco aos esforcos*fadiga
NEFROLOGIA,Hipertensao e Transplante,transplantado renal*hipertensao severa*esteno de arteria renal*creatinina*hipertensao secundaria*filtracao glomerular*doenca renal cronica*policistica*tolvaptan*classificacao de mayo*aparelho de pressao*digital de braco*hipercalciuria*litiase renal de repeticao*mrpa
NEFROLOGIA,Infeccoes Urinarias,pielonefrite*cistite*disuria*trato urinario*urina jacto*urina escura*odor fetido*irritabilidade ao urinar*lactente
NEFROLOGIA,Glomerulopatias,hematuria*cilindros*proteinuria*edema*nefrotica*nefritica*gnpe*aslo*biopsia*lesao minima*endoteliose*ortostatica*lesao glomerular
ENDOCRINOLOGIA,Metabolismo e Hormonios,hipercortisolismo*cushing*tireoide*diabetes*dislipidemia*hiperprolactinemia*diminuicao de libido*disfuncao eretil
PSIQUIATRIA,Saude Mental,anedonia*vazio emocional*psicologicos*transtorno*depressao*esquizofrenia*funcoes motoras voluntarias*quadros depressivos graves*sintomas psicoticos*delirio
INFECTOLOGIA,Doencas Infectocontagiosas,hepatite*anti-hbc*hbsag*hiv*sifilis*antibiotico*doenca de chagas*fase cronica*ulcera*base mole*bordas irregulares*fundo purulento
RADIOLOGIA,Metodos de Imagem,raios-x*densidade radiologica*tc do abdome*ressonancia
HEMATOLOGIA,Onco-Hematologia,mieloma multiplo*venetoclax*von willebrand*bcl2*inflamacao*combate a patogenos
ONCOLOGIA,Cancer e Genetica,testes geneticos*linha germinativa*doencas oncologicas
